Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
yl_007_1	yl_007_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13575825.0	0.0	18-100	53.0	37.00909714960699	99.1536001679456	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_007_2	yl_007_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13575825.0	0.0	18-100	53.0	37.63819859086682	99.07621673084324	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_008_1	yl_008_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12876428.0	0.0	18-100	54.0	38.42084761998414	99.15624643728836	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_008_2	yl_008_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12876428.0	0.0	18-100	54.0	38.90870532594485	99.0742597248243	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_009_1	yl_009_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14914397.0	0.0	18-100	54.0	36.60359164863928	99.16047802670131	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_009_2	yl_009_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14914397.0	0.0	18-100	54.0	37.58189730116471	99.06004741592972	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_010_1	yl_010_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13935215.0	0.0	18-100	53.0	35.42021255045963	99.15571578909977	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_010_2	yl_010_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13935215.0	0.0	18-100	53.0	35.092262643880865	99.08979316070833	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_011_1	yl_011_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12374939.0	0.0	18-100	53.0	35.42623264015289	99.13425043953752	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_011_2	yl_011_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	12374939.0	0.0	18-100	53.0	36.41183567245112	99.08245462866525	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_012_1	yl_012_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15449414.0	0.0	18-100	53.0	35.06961528803028	99.15241833767935	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_012_2	yl_012_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15449414.0	0.0	18-100	53.0	35.141333116987745	99.0851405755584	100	pass	pass	pass	fail	warn	pass	warn	fail	pass	pass
yl_013_1	yl_013_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14913668.0	0.0	18-100	54.0	36.04234399098717	99.15954170362382	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_013_2	yl_013_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14913668.0	0.0	18-100	54.0	37.0234597760233	99.0532263424397	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_014_1	yl_014_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13912008.0	0.0	18-100	54.0	37.0820495131872	99.16068650909344	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_014_2	yl_014_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13912008.0	0.0	18-100	54.0	38.8454634306739	99.0344827288771	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_015_1	yl_015_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16069557.0	0.0	18-100	54.0	34.54963103237092	99.16741575390037	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_015_2	yl_015_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	16069557.0	0.0	18-100	54.0	36.52666708119532	99.0367541556995	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_016_1	yl_016_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13856242.0	0.0	18-100	55.0	36.81641048205237	99.15878778676066	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_016_2	yl_016_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13856242.0	0.0	18-100	54.0	38.84455000360626	99.01707504819849	100	pass	pass	pass	fail	pass	pass	warn	fail	pass	pass
yl_017_1	yl_017_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13086986.0	0.0	18-100	54.0	35.565387632809674	99.1676751239743	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_017_2	yl_017_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	13086986.0	0.0	18-100	54.0	37.135709755863225	99.04406973462034	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_018_1	yl_018_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15941061.0	0.0	18-100	54.0	33.57067664244029	99.16839613122363	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_018_2	yl_018_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15941061.0	0.0	18-100	54.0	34.21616461699779	99.06037157752549	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_019_1	yl_019_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15611899.0	0.0	18-100	54.0	33.43739597921597	99.16564704908737	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
yl_019_2	yl_019_2_val_2.fq.gz	Conventional base calls	Sanger / Illumina 1.9	15611899.0	0.0	18-100	54.0	34.90715667589576	99.04302903829957	100	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
yl_020_1	yl_020_1_val_1.fq.gz	Conventional base calls	Sanger / Illumina 1.9	14056454.0	0.0	18-100	54.0	34.7461054786465	99.16837831219738	100	pass	pass	pass	fail	pass	pass	warn	fail	warn	pass
